id,user,device_type,messenger_id
,3,SPOTTRACE,0-3190240
,6,SPOTTRACE,0-3189506
,7,SPOTTRACE,0-3175537
,9,SPOTTRACE,0-4415882
,10,SPOTTRACE,0-4421265
,11,SPOTTRACE,0-3149844
,11,SPOTTRACE,0-3158050
,11,SPOTTRACE,0-3149835
,11,SPOTTRACE,0-4404951
,11,SPOTTRACE,0-3153687
,13,SPOTTRACE,0-3159813
,13,SPOTTRACE,0-3179622
,13,SPOTTRACE,0-3186036
,15,SPOTTRACE,0-3192021
,15,SPOTTRACE,0-4420143
,16,SPOTTRACE,0-2502422
,16,SPOTTRACE,0-4419326
,20,SPOTTRACE,0-3163306
,22,SPOTTRACE,0-3159437
,23,SPOTTRACE,0-3163352
,28,SPOTTRACE,0-3179939
,29,SPOTTRACE,0-3179654
,30,SPOTTRACE,0-3192849
,31,SPOTTRACE,0-3176424
,32,SPOTTRACE,0-3159342
,33,SPOTTRACE,0-3159343
,34,SPOTTRACE,0-3180647
,36,SPOTTRACE,0-3159349
,36,SPOTTRACE,0-3158894
,37,SPOTTRACE,0-4400588
,38,SPOTTRACE,0-3196725
,39,SPOTTRACE,0-4400921
,40,SPOTTRACE,0-3195150
,42,SPOTTRACE,0-4400923
,43,SPOTTRACE,0-3147753
,43,SPOTTRACE,0-4400584
,43,SPOTTRACE,0-4414538
,44,SPOTTRACE,0-3196794
,45,SPOTTRACE,0-4405611
,46,SPOTTRACE,0-3158876
,47,SPOTTRACE,0-3180487
,47,SPOTTRACE,0-3182123
,48,SPOTTRACE,0-3180154
,49,SPOTTRACE,0-3191601
,50,SPOTTRACE,0-3196919
,52,SPOTTRACE,0-3194762
,52,SPOTTRACE,0-3194771
,54,SPOTTRACE,0-3180490
,55,SPOTTRACE,0-4419198
,58,SPOTTRACE,0-4419171
,59,SPOTTRACE,0-4415772
,60,SPOTTRACE,0-4419193
,61,SPOTTRACE,0-4421201
,62,SPOTTRACE,0-4421262
,63,SPOTTRACE,0-4419199
,64,SPOTTRACE,0-4414330
,65,SPOTTRACE,0-4421319
,66,SPOTTRACE,0-4413267
,66,SPOTTRACE,0-4413265
,67,SPOTTRACE,0-4414006
