id,user,device,asset_name
,3,1,Maksat-2
,6,2,zhorga
,7,3,Spot 7
,9,4,GPS 1
,10,5,TAIYR
,11,6,GPS 4
,11,7,GPS 1
,11,8,GPS 3
,11,9,GPS 5
,11,10,GPS 2
,13,11,BARHAN
,13,12,J_D
,13,13,TOCHKA
,15,14,GPS
,15,15,GPS
,16,16,Roska
,16,17,Baranessa
,20,18,Yessen GPS
,22,19,Ilyas GPS
,23,20,Nurbolat
,28,21,Zhanat GPS
,29,22,MuratGps
,30,23,Bulat GPS
,31,24,GPS URALSK
,32,25,Aigyr
,33,26,Karttar
,34,27,GPS
,36,28,GPS 3
,36,29,GPS 1
,37,30,Statnikov GPS
,38,31,Sabit Gps
,39,32,Abzal
,40,33,Merey
,42,34,Mikhail GPS
,43,35,GPS
,43,36,Yesen
,43,37,Yesen 2
,44,38,Sabr-GPS
,45,39,GPS - Dzhoni
,46,40,Gps
,47,41,Timur 2
,47,42,TIMUR 1
,48,43,GPS
,49,44,Kairgeldy
,50,45,Samat GPS
,52,46,Ala Yir
,52,47,Kyren Kaska
,54,48,GPS-Dulat
,55,49,GPS 1
,58,50,GPS 1
,59,51,GPS 1
,60,52,GPS 1
,61,53,Ruslan
,62,54,Albek
,63,55,GPS
,64,56,GPS 2
,65,57,Daniyar Gps
,66,58,Erlan 1
,66,59,Erlan 2
,67,60,Gps
